prev,next,frequency
a,a,255
a,b,13238
a,c,18022
a,d,9605
a,e,6131
a,f,2147
a,g,8545
a,h,1449
a,i,6588
a,j,318
a,k,3053
a,l,40559
a,m,11453
a,n,40043
a,o,389
a,p,10562
a,q,341
a,r,31753
a,s,16637
a,t,42056
a,u,5457
a,v,3495
a,w,1952
a,x,1286
a,y,2611
a,z,1474
a,<EOS>,16373
b,a,8685
b,b,1711
b,c,390
b,d,452
b,e,8860
b,f,144
b,g,87
b,h,187
b,i,8912
b,j,256
b,k,36
b,l,12412
b,m,237
b,n,166
b,o,6967
b,p,206
b,q,10
b,r,6095
b,s,1525
b,t,492
b,u,4645
b,v,141
b,w,78
b,x,4
b,y,596
b,z,10
b,<EOS>,638
c,a,23273
c,b,23
c,c,2384
c,d,53
c,e,14902
c,f,19
c,g,14
c,h,19822
c,i,11481
c,k,6525
c,l,5088
c,m,52
c,n,228
c,o,24157
c,p,42
c,q,178
c,r,8336
c,s,1031
c,t,10302
c,u,7752
c,v,2
c,w,20
c,x,1
c,y,3560
c,z,45
c,<EOS>,13690
d,a,8639
d,b,358
d,c,201
d,d,1822
d,e,22148
d,f,343
d,g,1029
d,h,479
d,i,19349
d,j,294
d,k,46
d,l,3017
d,m,619
d,n,1424
d,o,8317
d,p,184
d,q,12
d,r,5029
d,s,2717
d,t,145
d,u,3435
d,v,375
d,w,494
d,x,2
d,y,1780
d,z,40
d,<EOS>,30894
e,a,15041
e,b,3042
e,c,13179
e,d,30879
e,e,7312
e,f,3774
e,g,4208
e,h,1461
e,i,4366
e,j,396
e,k,695
e,l,19586
e,m,12725
e,n,38436
e,o,5476
e,p,8610
e,q,931
e,r,66715
e,s,46929
e,t,18125
e,u,4490
e,v,3385
e,w,2367
e,x,5175
e,y,1743
e,z,450
e,<EOS>,56959
f,a,3561
f,b,49
f,c,39
f,d,40
f,e,5162
f,f,3062
f,g,24
f,h,42
f,i,7027
f,j,8
f,k,12
f,l,4104
f,m,45
f,n,44
f,o,5545
f,p,29
f,r,2832
f,s,318
f,t,1219
f,u,3908
f,v,2
f,w,42
f,x,3
f,y,943
f,z,6
f,<EOS>,1172
g,a,7713
g,b,198
g,c,34
g,d,124
g,e,11916
g,f,121
g,g,2113
g,h,2864
g,i,8527
g,j,12
g,k,35
g,l,5660
g,m,845
g,n,2781
g,o,4842
g,p,69
g,q,1
g,r,7272
g,s,1682
g,t,213
g,u,3820
g,v,5
g,w,211
g,y,2064
g,z,12
g,<EOS>,19493
h,a,14065
h,b,307
h,c,116
h,d,138
h,e,18798
h,f,259
h,g,77
h,h,112
h,i,14800
h,j,15
h,k,62
h,l,1785
h,m,904
h,n,992
h,o,14847
h,p,181
h,q,12
h,r,4080
h,s,836
h,t,2480
h,u,2801
h,v,33
h,w,409
h,y,8172
