prev,next,frequency
s,<EOS>,75666
e,r,66715
i,n,60888
e,<EOS>,56959
t,i,49645
o,n,47067
e,s,46929
t,e,44229
a,t,42056
a,l,40559
a,n,40043
r,e,40023
<BOS>,s,38764
e,n,38436
y,<EOS>,36777
i,s,36502
i,c,35999
r,i,35622
r,a,35216
<BOS>,p,34860
l,e,34576
s,t,34122
l,i,32897
n,e,32262
<BOS>,c,32108
a,r,31753
r,o,31100
d,<EOS>,30894
e,d,30879
n,g,29714
n,t,29533
o,r,28809
u,n,27615
n,<EOS>,25638
<BOS>,a,25417
l,a,25052
i,t,24854
c,o,24157
c,a,23273
<BOS>,u,22766
n,i,22288
d,e,22148
i,o,22038
t,o,21357
t,a,21117
s,s,20858
s,e,20839
t,<EOS>,20779
r,<EOS>,20769
i,a,20666
n,o,20424
t,r,20370
l,y,20196
u,s,19837
c,h,19822
<BOS>,m,19805
m,a,19645
e,l,19586
o,u,19518
g,<EOS>,19493
d,i,19349
l,o,18943
m,e,18877
<BOS>,t,18819
h,e,18798
l,l,18756
<BOS>,d,18733
n,a,18634
<BOS>,b,18413
l,<EOS>,18323
o,l,18296
e,t,18125
m,i,18112
s,i,18106
a,c,18022
v,e,17745
p,e,17219
o,m,17030
<BOS>,r,16783
p,h,16764
a,s,16637
t,h,16523
a,<EOS>,16373
i,l,15968
o,s,15626
n,d,15070
e,a,15041
c,e,14902
o,p,14881
h,o,14847
p,r,14814
h,i,14800
n,s,14511
i,d,14417
u,r,14229
<BOS>,e,14197
u,l,14100
h,a,14065
<BOS>,h,13743
c,<EOS>,13690
n,c,13467
<BOS>,n,13459
i,e,13427
a,b,13238
<BOS>,i,13199
e,c,13179
o,t,12894
e,m,12725
<BOS>,o,12681
p,o,12574
p,a,12543
m,o,12427
b,l,12412
g,e,11916
<BOS>,f,11893
r,s,11857
c,i,11481
a,m,11453
s,h,11197
<BOS>,g,10953
o,c,10905
o,g,10671
a,p,10562
s,u,10456
m,<EOS>,10399
c,t,10302
p,i,10292
<BOS>,l,10002
a,d,9605
s,c,9519
u,t,9310
s,a,9272
b,i,8912
b,e,8860
s,o,8826
u,m,8779
b,a,8685
d,a,8639
e,p,8610
s,p,8551
a,g,8545
g,i,8527
r,t,8440
i,z,8384
i,v,8371
i,m,8343
c,r,8336
d,o,8317
h,y,8172
k,e,7885
c,u,7752
o,d,7714
g,a,7713
r,y,7582
o,o,7475
t,y,7364
p,l,7341
e,e,7312
t,u,7301
i,r,7287
s,m,7285
g,r,7272
i,g,7040
i,p,7030
f,i,7027
b,o,6967
m,p,6919
v,i,6761
l,u,6727
r,m,6706
a,i,6588
<BOS>,w,6559
c,k,6525
o,v,6396
z,e,6290
i,f,6241
a,e,6131
b,r,6095
r,u,6071
h,<EOS>,6069
t,t,5826
o,i,5816
q,u,5763
r,r,5752
r,c,5741
t,s,5670
r,d,5668
g,l,5660
f,o,5545
e,o,5476
a,u,5457
<BOS>,v,5329
u,b,5296
e,x,5175
f,e,5162
c,l,5088
u,p,5085
d,r,5029
v,a,5020
w,a,4851
g,o,4842
o,b,4784
i,b,4670
b,u,4645
p,t,4583
u,c,4527
k,i,4525
e,u,4490
o,w,4375
e,i,4366
m,b,4332
r,n,4308
e,g,4208
u,i,4152
u,a,4130
f,l,4104
h,r,4080
m,u,4008
<BOS>,k,3952
n,n,3948
f,u,3908
p,s,3871
y,l,3861
g,u,3820
p,u,3814
e,f,3774
s,l,3754
y,p,3739
o,a,3667
u,d,3659
y,s,3655
w,i,3643
p,p,3577
o,<EOS>,3577
f,a,3561
c,y,3560
l,t,3549
k,<EOS>,3535
r,p,3507
w,e,3495
a,v,3495
t,l,3471
u,e,3452
d,u,3435
m,m,3427
n,f,3417
e,v,3385
i,<EOS>,3372
n,u,3301
r,g,3256
w,o,3246
r,b,3087
f,f,3062
a,k,3053
e,b,3042
d,l,3017
s,y,3007
l,s,2966
g,h,2864
o,e,2840
<BOS>,j,2840
f,r,2832
r,l,2822
m,y,2804
h,u,2801
g,n,2781
p,<EOS>,2737
d,s,2717
i,k,2633
a,y,2611
s,n,2573
v,o,2556
n,p,2539
h,t,2480
z,a,2438
y,m,2399
c,c,2384
e,w,2367
u,g,2365
k,a,2349
y,n,2325
l,d,2320
z,i,2309
y,c,2270
i,u,2242
n,k,2202
y,t,2194
a,f,2147
o,f,2145
x,i,2140
g,g,2113
y,a,2094
n,r,2084
r,h,2076
g,y,2064
y,r,2038
o,x,1995
a,w,1952
r,k,1927
m,s,1851
z,o,1848
n,v,1838
s,k,1825
d,d,1822
n,l,1794
<BOS>,q,1793
p,y,1788
h,l,1785
o,k,1782
d,y,1780
t,c,1778
k,s,1770
n,y,1749
e,y,1743
r,v,1730
b,b,1711
y,e,1694
y,o,1689
g,s,1682
n,m,1606
b,s,1525
r,f,1520
y,d,1489
a,z,1474
j,u,1463
e,h,1461
w,h,1459
l,p,1458
a,h,1449
y,i,1441
d,n,1424
n,b,1423
s,w,1412
n,h,1407
l,m,1399
<BOS>,z,1387
j,a,1378
l,c,1288
a,x,1286
f,t,1219
k,l,1194
x,t,1180
f,<EOS>,1172
<BOS>,y,1143
t,w,1133
x,e,1115
l,v,1090
l,n,1085
o,y,1060
j,e,1055
x,a,1050
u,o,1042
k,o,1039
c,s,1031
d,g,1029
o,h,1028
j,o,1028
x,<EOS>,1027
s,q,1021
m,n,1012
h,n,992
x,p,972
u,f,968
w,n,959
w,<EOS>,953
l,f,946
f,y,943
n,w,940
e,q,931
y,g,911
h,m,904
r,w,902
l,k,901
t,m,882
l,g,853
g,m,845
h,s,836
u,<EOS>,812
k,n,769
i,x,767
o,z,761
x,o,759
x,y,758
t,f,748
l,b,743
